files: 988
trials: 100
path_a path_b min max mean variance std_dev rel_std_dev
/home/falkor/source/idhash/non-duplicates/668_a.jpg /home/falkor/source/idhash/non-duplicates/668_b.jpg 18 44 30.72 36.54 6.04 19.68
/home/falkor/source/idhash/non-duplicates/669_a.jpg /home/falkor/source/idhash/non-duplicates/669_b.jpg 20 51 35.33 43.68 6.61 18.71
/home/falkor/source/idhash/non-duplicates/670_a.jpg /home/falkor/source/idhash/non-duplicates/670_b.jpg 15 51 37.37 38.51 6.21 16.61
/home/falkor/source/idhash/non-duplicates/671_a.jpg /home/falkor/source/idhash/non-duplicates/671_b.jpg 24 48 35.25 30.99 5.57 15.79
/home/falkor/source/idhash/non-duplicates/672_a.jpg /home/falkor/source/idhash/non-duplicates/672_b.jpg 15 49 34.39 48.10 6.94 20.17
/home/falkor/source/idhash/non-duplicates/673_a.jpg /home/falkor/source/idhash/non-duplicates/673_b.jpg 26 50 39.22 28.79 5.37 13.68
/home/falkor/source/idhash/non-duplicates/674_a.jpg /home/falkor/source/idhash/non-duplicates/674_b.jpg 24 55 39.32 39.22 6.26 15.93
/home/falkor/source/idhash/non-duplicates/675_a.jpg /home/falkor/source/idhash/non-duplicates/675_b.jpg 25 54 39.86 33.88 5.82 14.60
/home/falkor/source/idhash/non-duplicates/676_a.jpg /home/falkor/source/idhash/non-duplicates/676_b.jpg 19 50 37.13 33.61 5.80 15.61
/home/falkor/source/idhash/non-duplicates/677_a.jpg /home/falkor/source/idhash/non-duplicates/677_b.jpg 20 44 33.41 27.46 5.24 15.69
/home/falkor/source/idhash/non-duplicates/678_a.jpg /home/falkor/source/idhash/non-duplicates/678_b.jpg 12 50 32.72 41.68 6.46 19.73
/home/falkor/source/idhash/non-duplicates/679_a.jpg /home/falkor/source/idhash/non-duplicates/679_b.jpg 11 43 29.69 38.47 6.20 20.89
/home/falkor/source/idhash/non-duplicates/680_a.jpg /home/falkor/source/idhash/non-duplicates/680_b.jpg 17 49 31.02 34.94 5.91 19.06
/home/falkor/source/idhash/non-duplicates/681_a.jpg /home/falkor/source/idhash/non-duplicates/681_b.jpg 25 51 38.39 36.08 6.01 15.65
/home/falkor/source/idhash/non-duplicates/682_a.jpg /home/falkor/source/idhash/non-duplicates/682_b.jpg 20 54 37.88 41.61 6.45 17.03
/home/falkor/source/idhash/non-duplicates/683_a.jpg /home/falkor/source/idhash/non-duplicates/683_b.jpg 19 50 36.25 34.65 5.89 16.24
/home/falkor/source/idhash/non-duplicates/684_a.jpg /home/falkor/source/idhash/non-duplicates/684_b.jpg 18 50 35.76 43.56 6.60 18.46
/home/falkor/source/idhash/non-duplicates/685_a.jpg /home/falkor/source/idhash/non-duplicates/685_b.jpg 15 46 32.95 35.57 5.96 18.10
/home/falkor/source/idhash/non-duplicates/686_a.jpg /home/falkor/source/idhash/non-duplicates/686_b.jpg 16 51 36.51 49.69 7.05 19.31
/home/falkor/source/idhash/non-duplicates/687_a.jpg /home/falkor/source/idhash/non-duplicates/687_b.jpg 20 51 40.02 40.10 6.33 15.82
/home/falkor/source/idhash/non-duplicates/688_a.jpg /home/falkor/source/idhash/non-duplicates/688_b.jpg 17 47 32.78 39.83 6.31 19.25
/home/falkor/source/idhash/non-duplicates/689_a.jpg /home/falkor/source/idhash/non-duplicates/689_b.jpg 21 55 38.44 48.93 6.99 18.20
/home/falkor/source/idhash/non-duplicates/690_a.jpg /home/falkor/source/idhash/non-duplicates/690_b.jpg 21 53 36.61 46.50 6.82 18.63
/home/falkor/source/idhash/non-duplicates/691_a.jpg /home/falkor/source/idhash/non-duplicates/691_b.jpg 19 50 36.46 33.99 5.83 15.99
/home/falkor/source/idhash/non-duplicates/692_a.jpg /home/falkor/source/idhash/non-duplicates/692_b.jpg 16 47 34.63 35.93 5.99 17.31
/home/falkor/source/idhash/non-duplicates/693_a.jpg /home/falkor/source/idhash/non-duplicates/693_b.jpg 9 41 26.74 51.09 7.15 26.73
/home/falkor/source/idhash/non-duplicates/694_a.jpg /home/falkor/source/idhash/non-duplicates/694_b.jpg 22 53 39.31 46.33 6.81 17.32
/home/falkor/source/idhash/non-duplicates/695_a.jpg /home/falkor/source/idhash/non-duplicates/695_b.jpg 14 45 31.42 38.60 6.21 19.77
/home/falkor/source/idhash/non-duplicates/696_a.jpg /home/falkor/source/idhash/non-duplicates/696_b.jpg 17 49 36.58 34.52 5.88 16.06
/home/falkor/source/idhash/non-duplicates/697_a.jpg /home/falkor/source/idhash/non-duplicates/697_b.jpg 20 54 38.03 47.69 6.91 18.16
/home/falkor/source/idhash/non-duplicates/698_a.jpg /home/falkor/source/idhash/non-duplicates/698_b.jpg 21 49 39.00 42.12 6.49 16.64
/home/falkor/source/idhash/non-duplicates/699_a.jpg /home/falkor/source/idhash/non-duplicates/699_b.jpg 13 41 29.23 35.28 5.94 20.32
/home/falkor/source/idhash/non-duplicates/700_a.jpg /home/falkor/source/idhash/non-duplicates/700_b.jpg 17 50 36.52 42.39 6.51 17.83
/home/falkor/source/idhash/non-duplicates/701_a.jpg /home/falkor/source/idhash/non-duplicates/701_b.jpg 23 52 38.61 38.48 6.20 16.07
/home/falkor/source/idhash/non-duplicates/702_a.jpg /home/falkor/source/idhash/non-duplicates/702_b.jpg 16 51 32.62 41.50 6.44 19.75
/home/falkor/source/idhash/non-duplicates/703_a.jpg /home/falkor/source/idhash/non-duplicates/703_b.jpg 10 40 28.51 32.23 5.68 19.91
/home/falkor/source/idhash/non-duplicates/704_a.jpg /home/falkor/source/idhash/non-duplicates/704_b.jpg 11 48 31.48 49.33 7.02 22.31
/home/falkor/source/idhash/non-duplicates/705_a.jpg /home/falkor/source/idhash/non-duplicates/705_b.jpg 10 47 29.18 40.07 6.33 21.69
/home/falkor/source/idhash/non-duplicates/706_a.jpg /home/falkor/source/idhash/non-duplicates/706_b.jpg 15 51 35.26 41.23 6.42 18.21
/home/falkor/source/idhash/non-duplicates/707_a.jpg /home/falkor/source/idhash/non-duplicates/707_b.jpg 18 51 32.70 49.53 7.04 21.52
/home/falkor/source/idhash/non-duplicates/708_a.jpg /home/falkor/source/idhash/non-duplicates/708_b.jpg 24 52 38.06 34.90 5.91 15.52
/home/falkor/source/idhash/non-duplicates/709_a.jpg /home/falkor/source/idhash/non-duplicates/709_b.jpg 24 53 39.84 30.95 5.56 13.97
/home/falkor/source/idhash/non-duplicates/710_a.jpg /home/falkor/source/idhash/non-duplicates/710_b.jpg 15 50 33.69 44.33 6.66 19.76
/home/falkor/source/idhash/non-duplicates/711_a.jpg /home/falkor/source/idhash/non-duplicates/711_b.jpg 20 49 35.54 33.55 5.79 16.30
/home/falkor/source/idhash/non-duplicates/712_a.jpg /home/falkor/source/idhash/non-duplicates/712_b.jpg 28 52 41.44 28.77 5.36 12.94
/home/falkor/source/idhash/non-duplicates/713_a.jpg /home/falkor/source/idhash/non-duplicates/713_b.jpg 17 49 33.81 42.25 6.50 19.23
/home/falkor/source/idhash/non-duplicates/714_a.jpg /home/falkor/source/idhash/non-duplicates/714_b.jpg 20 46 35.83 29.30 5.41 15.11
/home/falkor/source/idhash/non-duplicates/715_a.jpg /home/falkor/source/idhash/non-duplicates/715_b.jpg 25 55 40.52 24.15 4.91 12.13
/home/falkor/source/idhash/non-duplicates/716_a.jpg /home/falkor/source/idhash/non-duplicates/716_b.jpg 17 50 37.11 35.48 5.96 16.05
/home/falkor/source/idhash/non-duplicates/717_a.jpg /home/falkor/source/idhash/non-duplicates/717_b.jpg 16 50 31.40 35.44 5.95 18.96
/home/falkor/source/idhash/non-duplicates/718_a.jpg /home/falkor/source/idhash/non-duplicates/718_b.jpg 19 48 32.73 24.80 4.98 15.21
/home/falkor/source/idhash/non-duplicates/719_a.jpg /home/falkor/source/idhash/non-duplicates/719_b.jpg 15 48 28.85 29.03 5.39 18.67
/home/falkor/source/idhash/non-duplicates/720_a.jpg /home/falkor/source/idhash/non-duplicates/720_b.jpg 20 50 33.53 32.69 5.72 17.05
/home/falkor/source/idhash/non-duplicates/721_a.jpg /home/falkor/source/idhash/non-duplicates/721_b.jpg 20 54 40.09 33.90 5.82 14.52
/home/falkor/source/idhash/non-duplicates/722_a.jpg /home/falkor/source/idhash/non-duplicates/722_b.jpg 17 46 31.25 35.85 5.99 19.16
/home/falkor/source/idhash/non-duplicates/723_a.jpg /home/falkor/source/idhash/non-duplicates/723_b.jpg 14 47 32.69 42.95 6.55 20.05
/home/falkor/source/idhash/non-duplicates/724_a.jpg /home/falkor/source/idhash/non-duplicates/724_b.jpg 16 51 34.30 43.61 6.60 19.25
/home/falkor/source/idhash/non-duplicates/725_a.jpg /home/falkor/source/idhash/non-duplicates/725_b.jpg 11 44 31.69 40.27 6.35 20.03
/home/falkor/source/idhash/non-duplicates/726_a.jpg /home/falkor/source/idhash/non-duplicates/726_b.jpg 9 52 28.51 64.15 8.01 28.09
/home/falkor/source/idhash/non-duplicates/727_a.jpg /home/falkor/source/idhash/non-duplicates/727_b.jpg 13 49 30.74 39.23 6.26 20.38
/home/falkor/source/idhash/non-duplicates/728_a.jpg /home/falkor/source/idhash/non-duplicates/728_b.jpg 14 46 33.00 44.60 6.68 20.24
/home/falkor/source/idhash/non-duplicates/729_a.jpg /home/falkor/source/idhash/non-duplicates/729_b.jpg 27 54 40.81 32.77 5.72 14.03
/home/falkor/source/idhash/non-duplicates/730_a.jpg /home/falkor/source/idhash/non-duplicates/730_b.jpg 18 48 33.47 41.25 6.42 19.19
/home/falkor/source/idhash/non-duplicates/731_a.jpg /home/falkor/source/idhash/non-duplicates/731_b.jpg 22 50 38.28 32.82 5.73 14.97
/home/falkor/source/idhash/non-duplicates/732_a.jpg /home/falkor/source/idhash/non-duplicates/732_b.jpg 19 51 34.27 45.14 6.72 19.60
/home/falkor/source/idhash/non-duplicates/733_a.jpg /home/falkor/source/idhash/non-duplicates/733_b.jpg 20 50 35.87 32.59 5.71 15.92
/home/falkor/source/idhash/non-duplicates/734_a.jpg /home/falkor/source/idhash/non-duplicates/734_b.jpg 20 49 33.81 31.05 5.57 16.48
/home/falkor/source/idhash/non-duplicates/735_a.jpg /home/falkor/source/idhash/non-duplicates/735_b.jpg 21 49 36.45 33.97 5.83 15.99
/home/falkor/source/idhash/non-duplicates/736_a.jpg /home/falkor/source/idhash/non-duplicates/736_b.jpg 22 52 37.10 39.83 6.31 17.01
/home/falkor/source/idhash/non-duplicates/737_a.jpg /home/falkor/source/idhash/non-duplicates/737_b.jpg 20 54 36.46 38.57 6.21 17.03
/home/falkor/source/idhash/non-duplicates/738_a.jpg /home/falkor/source/idhash/non-duplicates/738_b.jpg 20 54 40.46 44.63 6.68 16.51
/home/falkor/source/idhash/non-duplicates/739_a.jpg /home/falkor/source/idhash/non-duplicates/739_b.jpg 20 49 38.92 35.51 5.96 15.31
/home/falkor/source/idhash/non-duplicates/740_a.jpg /home/falkor/source/idhash/non-duplicates/740_b.jpg 19 55 39.99 42.17 6.49 16.24
/home/falkor/source/idhash/non-duplicates/741_a.jpg /home/falkor/source/idhash/non-duplicates/741_b.jpg 21 50 33.90 32.29 5.68 16.76
/home/falkor/source/idhash/non-duplicates/742_a.jpg /home/falkor/source/idhash/non-duplicates/742_b.jpg 18 59 34.92 33.65 5.80 16.61
/home/falkor/source/idhash/non-duplicates/743_a.jpg /home/falkor/source/idhash/non-duplicates/743_b.jpg 22 52 35.87 40.07 6.33 17.65
