files: 988
trials: 100
path_a path_b min max mean variance std_dev rel_std_dev
/home/falkor/source/idhash/duplicates/39_a.jpg /home/falkor/source/idhash/duplicates/39_b.jpg 4 36 22.13 44.05 6.64 29.99
/home/falkor/source/idhash/duplicates/40_a.jpg /home/falkor/source/idhash/duplicates/40_b.jpg 4 41 23.16 42.97 6.56 28.31
/home/falkor/source/idhash/duplicates/41_a.jpg /home/falkor/source/idhash/duplicates/41_b.jpg 5 38 21.92 38.27 6.19 28.22
/home/falkor/source/idhash/duplicates/42_a.jpg /home/falkor/source/idhash/duplicates/42_b.jpg 3 42 26.28 60.66 7.79 29.64
/home/falkor/source/idhash/duplicates/43_a.jpg /home/falkor/source/idhash/duplicates/43_b.jpg 0 37 20.31 60.53 7.78 38.31
/home/falkor/source/idhash/duplicates/44_a.jpg /home/falkor/source/idhash/duplicates/44_b.jpg 3 40 23.13 52.39 7.24 31.29
/home/falkor/source/idhash/duplicates/45_a.jpg /home/falkor/source/idhash/duplicates/45_b.jpg 0 32 21.27 36.78 6.06 28.51
/home/falkor/source/idhash/duplicates/46_a.jpg /home/falkor/source/idhash/duplicates/46_b.jpg 3 41 22.88 58.97 7.68 33.56
/home/falkor/source/idhash/duplicates/47_a.jpg /home/falkor/source/idhash/duplicates/47_b.jpg 7 42 24.69 47.81 6.91 28.01
/home/falkor/source/idhash/duplicates/48_a.jpg /home/falkor/source/idhash/duplicates/48_b.jpg 3 39 22.07 44.01 6.63 30.06
/home/falkor/source/idhash/duplicates/49_a.jpg /home/falkor/source/idhash/duplicates/49_b.jpg 8 40 25.35 43.35 6.58 25.97
/home/falkor/source/idhash/duplicates/50_a.jpg /home/falkor/source/idhash/duplicates/50_b.jpg 0 38 20.44 59.57 7.72 37.76
/home/falkor/source/idhash/duplicates/51_a.jpg /home/falkor/source/idhash/duplicates/51_b.jpg 5 34 21.48 36.27 6.02 28.04
/home/falkor/source/idhash/duplicates/52_a.jpg /home/falkor/source/idhash/duplicates/52_b.jpg 1 35 21.47 43.17 6.57 30.60
/home/falkor/source/idhash/duplicates/53_a.jpg /home/falkor/source/idhash/duplicates/53_b.jpg 3 38 23.49 42.01 6.48 27.59
/home/falkor/source/idhash/duplicates/54_a.jpg /home/falkor/source/idhash/duplicates/54_b.jpg 7 40 24.10 44.35 6.66 27.63
/home/falkor/source/idhash/duplicates/55_a.jpg /home/falkor/source/idhash/duplicates/55_b.jpg 3 40 23.28 38.70 6.22 26.72
/home/falkor/source/idhash/duplicates/56_a.jpg /home/falkor/source/idhash/duplicates/56_b.jpg 3 40 22.25 53.43 7.31 32.85
/home/falkor/source/idhash/duplicates/57_a.jpg /home/falkor/source/idhash/duplicates/57_b.jpg 2 38 23.74 50.71 7.12 30.00
/home/falkor/source/idhash/duplicates/58_a.jpg /home/falkor/source/idhash/duplicates/58_b.jpg 9 38 22.88 34.99 5.91 25.85
/home/falkor/source/idhash/duplicates/59_a.jpg /home/falkor/source/idhash/duplicates/59_b.jpg 2 37 21.82 46.55 6.82 31.27
/home/falkor/source/idhash/duplicates/60_a.jpg /home/falkor/source/idhash/duplicates/60_b.jpg 15 40 27.05 34.33 5.86 21.66
/home/falkor/source/idhash/duplicates/61_a.jpg /home/falkor/source/idhash/duplicates/61_b.jpg 1 34 21.90 34.49 5.87 26.82
/home/falkor/source/idhash/duplicates/62_a.jpg /home/falkor/source/idhash/duplicates/62_b.jpg 1 40 24.62 57.24 7.57 30.73
/home/falkor/source/idhash/duplicates/63_a.jpg /home/falkor/source/idhash/duplicates/63_b.jpg 8 35 22.54 35.23 5.94 26.33
/home/falkor/source/idhash/duplicates/64_a.jpg /home/falkor/source/idhash/duplicates/64_b.jpg 2 40 24.15 40.41 6.36 26.32
/home/falkor/source/idhash/duplicates/65_a.jpg /home/falkor/source/idhash/duplicates/65_b.jpg 5 40 24.39 43.60 6.60 27.07
/home/falkor/source/idhash/duplicates/66_a.jpg /home/falkor/source/idhash/duplicates/66_b.jpg 6 37 22.36 41.67 6.46 28.87
/home/falkor/source/idhash/duplicates/67_a.jpg /home/falkor/source/idhash/duplicates/67_b.jpg 10 41 24.38 40.86 6.39 26.22
/home/falkor/source/idhash/duplicates/68_a.jpg /home/falkor/source/idhash/duplicates/68_b.jpg 7 38 23.07 38.17 6.18 26.78
/home/falkor/source/idhash/duplicates/69_a.jpg /home/falkor/source/idhash/duplicates/69_b.jpg 4 38 23.08 39.15 6.26 27.11
/home/falkor/source/idhash/duplicates/70_a.jpg /home/falkor/source/idhash/duplicates/70_b.jpg 5 41 25.33 57.64 7.59 29.97
/home/falkor/source/idhash/duplicates/71_a.jpg /home/falkor/source/idhash/duplicates/71_b.jpg 5 33 20.98 42.98 6.56 31.25
/home/falkor/source/idhash/duplicates/72_a.jpg /home/falkor/source/idhash/duplicates/72_b.jpg 1 36 22.87 41.61 6.45 28.21
/home/falkor/source/idhash/duplicates/73_a.jpg /home/falkor/source/idhash/duplicates/73_b.jpg 8 37 24.30 50.21 7.09 29.16
/home/falkor/source/idhash/duplicates/74_a.jpg /home/falkor/source/idhash/duplicates/74_b.jpg 3 35 22.51 44.63 6.68 29.68
/home/falkor/source/idhash/duplicates/75_a.jpg /home/falkor/source/idhash/duplicates/75_b.jpg 1 34 20.24 44.14 6.64 32.83
/home/falkor/source/idhash/duplicates/76_a.jpg /home/falkor/source/idhash/duplicates/76_b.jpg 3 35 21.94 43.40 6.59 30.03
/home/falkor/source/idhash/duplicates/77_a.jpg /home/falkor/source/idhash/duplicates/77_b.jpg 7 39 24.07 47.69 6.91 28.69
/home/falkor/source/idhash/duplicates/78_a.jpg /home/falkor/source/idhash/duplicates/78_b.jpg 4 37 23.60 36.64 6.05 25.65
/home/falkor/source/idhash/duplicates/79_a.jpg /home/falkor/source/idhash/duplicates/79_b.jpg 10 37 24.03 34.01 5.83 24.27
/home/falkor/source/idhash/duplicates/80_a.jpg /home/falkor/source/idhash/duplicates/80_b.jpg 5 36 23.03 32.15 5.67 24.62
/home/falkor/source/idhash/duplicates/81_a.jpg /home/falkor/source/idhash/duplicates/81_b.jpg 5 36 22.17 37.36 6.11 27.57
/home/falkor/source/idhash/duplicates/82_a.jpg /home/falkor/source/idhash/duplicates/82_b.jpg 2 37 22.77 38.04 6.17 27.09
/home/falkor/source/idhash/duplicates/83_a.jpg /home/falkor/source/idhash/duplicates/83_b.jpg 1 42 23.40 45.80 6.77 28.92
/home/falkor/source/idhash/duplicates/84_a.jpg /home/falkor/source/idhash/duplicates/84_b.jpg 9 38 22.92 38.89 6.24 27.21
/home/falkor/source/idhash/duplicates/85_a.jpg /home/falkor/source/idhash/duplicates/85_b.jpg 2 33 20.73 40.82 6.39 30.82
/home/falkor/source/idhash/duplicates/86_a.jpg /home/falkor/source/idhash/duplicates/86_b.jpg 2 34 21.22 43.77 6.62 31.18
/home/falkor/source/idhash/duplicates/87_a.jpg /home/falkor/source/idhash/duplicates/87_b.jpg 6 36 23.50 38.73 6.22 26.48
/home/falkor/source/idhash/duplicates/88_a.jpg /home/falkor/source/idhash/duplicates/88_b.jpg 3 37 22.55 41.33 6.43 28.51
/home/falkor/source/idhash/duplicates/89_a.jpg /home/falkor/source/idhash/duplicates/89_b.jpg 4 36 23.50 42.63 6.53 27.78
/home/falkor/source/idhash/duplicates/90_a.jpg /home/falkor/source/idhash/duplicates/90_b.jpg 5 41 23.77 49.34 7.02 29.55
/home/falkor/source/idhash/duplicates/91_a.jpg /home/falkor/source/idhash/duplicates/91_b.jpg 1 37 23.75 42.17 6.49 27.34
/home/falkor/source/idhash/duplicates/92_a.jpg /home/falkor/source/idhash/duplicates/92_b.jpg 4 40 25.02 55.74 7.47 29.84
/home/falkor/source/idhash/duplicates/93_a.jpg /home/falkor/source/idhash/duplicates/93_b.jpg 0 36 20.80 68.16 8.26 39.69
/home/falkor/source/idhash/duplicates/94_a.jpg /home/falkor/source/idhash/duplicates/94_b.jpg 3 39 23.70 40.43 6.36 26.83
/home/falkor/source/idhash/duplicates/95_a.jpg /home/falkor/source/idhash/duplicates/95_b.jpg 5 37 23.49 40.21 6.34 27.00
/home/falkor/source/idhash/duplicates/96_a.jpg /home/falkor/source/idhash/duplicates/96_b.jpg 4 38 22.98 45.78 6.77 29.44
/home/falkor/source/idhash/duplicates/97_a.jpg /home/falkor/source/idhash/duplicates/97_b.jpg 4 36 22.44 46.65 6.83 30.44
/home/falkor/source/idhash/duplicates/98_a.jpg /home/falkor/source/idhash/duplicates/98_b.jpg 2 41 23.86 64.06 8.00 33.54
/home/falkor/source/idhash/duplicates/99_a.jpg /home/falkor/source/idhash/duplicates/99_b.jpg 5 35 20.73 39.94 6.32 30.49
/home/falkor/source/idhash/duplicates/100_a.jpg /home/falkor/source/idhash/duplicates/100_b.jpg 1 37 22.05 46.23 6.80 30.83
/home/falkor/source/idhash/duplicates/101_a.jpg /home/falkor/source/idhash/duplicates/101_b.jpg 5 37 23.16 45.89 6.77 29.25
/home/falkor/source/idhash/duplicates/102_a.jpg /home/falkor/source/idhash/duplicates/102_b.jpg 6 33 21.81 31.25 5.59 25.63
/home/falkor/source/idhash/duplicates/103_a.jpg /home/falkor/source/idhash/duplicates/103_b.jpg 3 35 24.19 36.11 6.01 24.84
/home/falkor/source/idhash/duplicates/104_a.jpg /home/falkor/source/idhash/duplicates/104_b.jpg 2 36 20.70 42.11 6.49 31.35
/home/falkor/source/idhash/duplicates/105_a.jpg /home/falkor/source/idhash/duplicates/105_b.jpg 5 41 23.06 46.52 6.82 29.58
/home/falkor/source/idhash/duplicates/106_a.jpg /home/falkor/source/idhash/duplicates/106_b.jpg 4 37 21.94 47.48 6.89 31.41
/home/falkor/source/idhash/duplicates/107_a.jpg /home/falkor/source/idhash/duplicates/107_b.jpg 4 38 23.17 48.98 7.00 30.21
/home/falkor/source/idhash/duplicates/108_a.jpg /home/falkor/source/idhash/duplicates/108_b.jpg 2 42 22.61 46.28 6.80 30.09
/home/falkor/source/idhash/duplicates/109_a.jpg /home/falkor/source/idhash/duplicates/109_b.jpg 2 40 24.56 49.87 7.06 28.75
/home/falkor/source/idhash/duplicates/110_a.jpg /home/falkor/source/idhash/duplicates/110_b.jpg 8 39 24.22 51.43 7.17 29.61
/home/falkor/source/idhash/duplicates/111_a.jpg /home/falkor/source/idhash/duplicates/111_b.jpg 4 36 20.37 47.47 6.89 33.82
/home/falkor/source/idhash/duplicates/112_a.jpg /home/falkor/source/idhash/duplicates/112_b.jpg 2 40 21.17 53.98 7.35 34.71
/home/falkor/source/idhash/duplicates/113_a.jpg /home/falkor/source/idhash/duplicates/113_b.jpg 6 37 22.22 40.77 6.39 28.74
